DAP,RTP
19.64,21.84
19.64,21.71
19.64,21.44
19.64,21.31
19.64,21.31
19.64,21.29
19.41,21.31
19.41,21.31
19.41,20.14
19.41,9.42
19.41,9.41
19.41,9.46
19.41,9.46
19.41,9.4
19.41,9.43
19.41,7.05
19.41,7.06
19.41,7.07
18.72,9.46
18.72,9.5
18.72,9.49
18.72,9.52
18.72,9.44
18.72,9.47
18.72,9.49
18.72,9.45
18.72,9.47
18.72,20.22
18.72,20.26
18.72,20.24
17.79,20.45
17.79,20.33
17.79,21.03
17.79,21.45
17.79,21.45
17.79,21.49
17.79,21.45
17.79,21.56
17.79,21.45
17.79,21.58
17.79,21.45
17.79,21.03
18.78,22.08
18.78,21.62
18.78,15.84
18.78,21.03
18.78,21.28
18.78,18.22
18.78,21.03
18.78,21.03
18.78,21.04
18.78,18.3
18.78,18.3
18.78,12.26
20.85,9.91
20.85,9.77
20.85,9.76
20.85,28.57
20.85,25.92
20.85,18.66
20.85,21.28
20.85,22.68
20.85,22.08
20.85,14.55
20.85,21.3
20.85,21.01
22.65,21.01
22.65,20.59
22.65,22.06
22.65,25.9
22.65,28.54
22.65,27.54
22.65,26.9
22.65,27.6
22.65,28.55
22.65,53.5
22.65,60.97
22.65,53.51
25.17,28.55
25.17,158.39
25.17,53.45
25.17,53.27
25.17,28.61
25.17,15.93
25.17,23.31
25.17,22.66
25.17,26.11
25.17,26.68
25.17,26.61
25.17,26.66
24.37,27.94
24.37,28.59
24.37,28.58
24.37,28.62
24.37,28.64
24.37,28.66
24.37,28.62
24.37,30.24
24.37,30.25
24.37,30.25
24.37,30.24
24.37,28.65
24.29,28.59
24.29,28.61
24.29,28.43
24.29,28.7
24.29,28.73
24.29,28.74
24.29,28.72
24.29,28.63
24.29,28.64
24.29,28.69
24.29,28.69
24.29,28.72
22.69,28.71
22.69,27.69
22.69,21.42
22.69,24.41
22.69,21.18
22.69,23.87
22.69,23.82
22.69,23.7
22.69,21.44
22.69,23.7
22.69,23.7
22.69,25.81
21.91,26.03
21.91,26.32
21.91,26.3
21.91,26.06
21.91,26.06
21.91,26.51
21.91,26.31
21.91,26.56
21.91,26.04
21.91,20.61
21.91,20.96
21.91,19.97
21.58,21.08
21.58,11.23
21.58,19.96
21.58,26.24
21.58,26.49
21.58,26.02
21.58,21.1
21.58,19.23
21.58,19.99
21.58,26
21.58,26
21.58,11.33
21.73,25.97
21.73,25.97
21.73,11.21
21.73,19.98
21.73,26.97
21.73,26.51
21.73,26.97
21.73,26.97
21.73,26
21.73,19.25
21.73,17.28
21.73,19
28.32,19.23
28.32,25.92
28.32,24.17
28.32,25.18
28.32,24.94
28.32,26.44
28.32,26.71
28.32,27.96
28.32,28.46
28.32,28.75
28.32,28.86
28.32,28.74
33.38,28.74
33.38,28.86
33.38,28.8
33.38,28.81
33.38,28.76
33.38,28.85
33.38,28.83
33.38,28.85
33.38,28.83
33.38,28.8
33.38,28.83
33.38,28.46
35.2,28.79
35.2,28.74
35.2,28.98
35.2,32.95
35.2,31.57
35.2,34.71
35.2,31.26
35.2,33.35
35.2,28.96
35.2,28.68
35.2,28.69
35.2,28.74
33.95,28.82
33.95,28.79
33.95,28.72
33.95,28.69
33.95,28.93
33.95,28.77
33.95,28.73
33.95,28.7
33.95,28.73
33.95,27.25
33.95,27.44
33.95,28.68
30.22,28.96
30.22,30.9
30.22,28.8
30.22,28.94
30.22,28.75
30.22,28.63
30.22,27.45
30.22,27.25
30.22,26.71
30.22,27.44
30.22,27.71
30.22,27.99
29.18,28.91
29.18,40.81
29.18,48.36
29.18,54.21
29.18,28.82
29.18,30.7
29.18,38.75
29.18,28.81
29.18,28.73
29.18,28.68
29.18,27.99
29.18,28.85
25.81,28.93
25.81,28.9
25.81,27.81
25.81,26.46
25.81,26.36
25.81,25.24
25.81,24.45
25.81,24.22
25.81,23.71
25.81,23.69
25.81,23.69
25.81,23.69
23.73,23.72
23.73,23.69
23.73,24.19
